group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
throughput,parse_document_to_pair,100000,29400000,bytes,269323166.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,267351727.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,266857443.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,271079688.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,268054360.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,265795024.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,270004274.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,265450081.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,264969656.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,265685555.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,266494118.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,267679515.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,263598175.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,267238904.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,266482945.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,263613636.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,265433686.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,262882364.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,263961910.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,263032306.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,260576019.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,262287732.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,264103127.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,261676636.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,262961412.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,260953041.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,261673465.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,261289315.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,261493923.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,264626658.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,263988779.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,262883778.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,261807044.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,263259743.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,263132320.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,261768347.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,263624890.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,264026311.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,262200837.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,266064249.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,261287855.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,262888676.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,261870116.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,265336124.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,260336689.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,266109925.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,264346109.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,267982792.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,284319137.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,264604299.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,262753071.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,265398304.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,271894426.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,271241877.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,268277582.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,268250390.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,263932734.0,ns,1
throughput,parse_document_to_pair,100000,29400000,bytes,260793480.0,ns,1
