group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
query throughput,query,100,4100,bytes,53693443.0,ns,2
query throughput,query,100,4100,bytes,52664600.0,ns,2
query throughput,query,100,4100,bytes,52726554.0,ns,2
query throughput,query,100,4100,bytes,52536273.0,ns,2
query throughput,query,100,4100,bytes,53216195.0,ns,2
query throughput,query,100,4100,bytes,52578160.0,ns,2
query throughput,query,100,4100,bytes,52821191.0,ns,2
query throughput,query,100,4100,bytes,52433845.0,ns,2
query throughput,query,100,4100,bytes,52376139.0,ns,2
query throughput,query,100,4100,bytes,53465205.0,ns,2
query throughput,query,100,4100,bytes,52995200.0,ns,2
query throughput,query,100,4100,bytes,53146096.0,ns,2
query throughput,query,100,4100,bytes,52717487.0,ns,2
query throughput,query,100,4100,bytes,53557493.0,ns,2
query throughput,query,100,4100,bytes,52226716.0,ns,2
query throughput,query,100,4100,bytes,52859486.0,ns,2
query throughput,query,100,4100,bytes,52774825.0,ns,2
query throughput,query,100,4100,bytes,52510346.0,ns,2
query throughput,query,100,4100,bytes,52465025.0,ns,2
query throughput,query,100,4100,bytes,51281838.0,ns,2
query throughput,query,100,4100,bytes,52759631.0,ns,2
query throughput,query,100,4100,bytes,53232371.0,ns,2
query throughput,query,100,4100,bytes,52722251.0,ns,2
query throughput,query,100,4100,bytes,53559919.0,ns,2
query throughput,query,100,4100,bytes,53399979.0,ns,2
query throughput,query,100,4100,bytes,53438406.0,ns,2
query throughput,query,100,4100,bytes,52763759.0,ns,2
query throughput,query,100,4100,bytes,52813728.0,ns,2
query throughput,query,100,4100,bytes,55109492.0,ns,2
query throughput,query,100,4100,bytes,52925770.0,ns,2
query throughput,query,100,4100,bytes,53181637.0,ns,2
query throughput,query,100,4100,bytes,53069391.0,ns,2
query throughput,query,100,4100,bytes,54385353.0,ns,2
query throughput,query,100,4100,bytes,53105450.0,ns,2
query throughput,query,100,4100,bytes,52928928.0,ns,2
query throughput,query,100,4100,bytes,53449584.0,ns,2
query throughput,query,100,4100,bytes,52833933.0,ns,2
query throughput,query,100,4100,bytes,53116896.0,ns,2
query throughput,query,100,4100,bytes,53037109.0,ns,2
query throughput,query,100,4100,bytes,53629199.0,ns,2
query throughput,query,100,4100,bytes,52711665.0,ns,2
query throughput,query,100,4100,bytes,52579851.0,ns,2
query throughput,query,100,4100,bytes,53247328.0,ns,2
query throughput,query,100,4100,bytes,53793185.0,ns,2
query throughput,query,100,4100,bytes,52438372.0,ns,2
query throughput,query,100,4100,bytes,52518988.0,ns,2
query throughput,query,100,4100,bytes,53380143.0,ns,2
query throughput,query,100,4100,bytes,54163724.0,ns,2
query throughput,query,100,4100,bytes,52855286.0,ns,2
query throughput,query,100,4100,bytes,52076262.0,ns,2
query throughput,query,100,4100,bytes,54003508.0,ns,2
query throughput,query,100,4100,bytes,54161533.0,ns,2
query throughput,query,100,4100,bytes,52960087.0,ns,2
query throughput,query,100,4100,bytes,53233805.0,ns,2
query throughput,query,100,4100,bytes,53124469.0,ns,2
query throughput,query,100,4100,bytes,53480554.0,ns,2
query throughput,query,100,4100,bytes,52997498.0,ns,2
query throughput,query,100,4100,bytes,53031659.0,ns,2
query throughput,query,100,4100,bytes,52941871.0,ns,2
query throughput,query,100,4100,bytes,52958194.0,ns,2
query throughput,query,100,4100,bytes,54098894.0,ns,2
query throughput,query,100,4100,bytes,53186050.0,ns,2
query throughput,query,100,4100,bytes,53541043.0,ns,2
query throughput,query,100,4100,bytes,52650569.0,ns,2
query throughput,query,100,4100,bytes,52328893.0,ns,2
query throughput,query,100,4100,bytes,53798500.0,ns,2
query throughput,query,100,4100,bytes,53759056.0,ns,2
query throughput,query,100,4100,bytes,52606364.0,ns,2
query throughput,query,100,4100,bytes,52462428.0,ns,2
query throughput,query,100,4100,bytes,53436197.0,ns,2
query throughput,query,100,4100,bytes,54255392.0,ns,2
query throughput,query,100,4100,bytes,52606885.0,ns,2
query throughput,query,100,4100,bytes,52664228.0,ns,2
query throughput,query,100,4100,bytes,53030894.0,ns,2
query throughput,query,100,4100,bytes,52905724.0,ns,2
query throughput,query,100,4100,bytes,53060252.0,ns,2
query throughput,query,100,4100,bytes,52742076.0,ns,2
query throughput,query,100,4100,bytes,53346184.0,ns,2
query throughput,query,100,4100,bytes,52812003.0,ns,2
query throughput,query,100,4100,bytes,53602393.0,ns,2
query throughput,query,100,4100,bytes,53044991.0,ns,2
query throughput,query,100,4100,bytes,52184221.0,ns,2
query throughput,query,100,4100,bytes,53018878.0,ns,2
query throughput,query,100,4100,bytes,53473540.0,ns,2
query throughput,query,100,4100,bytes,53516680.0,ns,2
query throughput,query,100,4100,bytes,53767883.0,ns,2
query throughput,query,100,4100,bytes,53029730.0,ns,2
query throughput,query,100,4100,bytes,53749280.0,ns,2
query throughput,query,100,4100,bytes,54888559.0,ns,2
query throughput,query,100,4100,bytes,53785118.0,ns,2
query throughput,query,100,4100,bytes,54338137.0,ns,2
query throughput,query,100,4100,bytes,54839335.0,ns,2
query throughput,query,100,4100,bytes,53850641.0,ns,2
query throughput,query,100,4100,bytes,53566830.0,ns,2
query throughput,query,100,4100,bytes,53539388.0,ns,2
query throughput,query,100,4100,bytes,54671813.0,ns,2
query throughput,query,100,4100,bytes,53998363.0,ns,2
query throughput,query,100,4100,bytes,53093975.0,ns,2
query throughput,query,100,4100,bytes,52880184.0,ns,2
query throughput,query,100,4100,bytes,52814658.0,ns,2
